,sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,class_versicolor,class_virginica
0,5.1,3.5,1.4,0.2,False,False
1,4.9,3.0,1.4,0.2,False,False
2,4.7,3.2,1.3,0.2,False,False
3,4.6,3.1,1.5,0.2,False,False
4,5.0,3.6,1.4,0.2,False,False
5,5.4,3.9,1.7,0.4,False,False
6,4.6,3.4,1.4,0.3,False,False
12,4.8,3.0,1.4,0.1,False,False
13,5.7,3.0,1.1,0.1,False,False
14,5.8,4.0,1.2,0.2,False,False
15,5.7,4.4,1.5,0.4,False,False
16,5.4,3.9,1.3,0.4,False,False
17,5.1,3.5,1.4,0.3,False,False
18,5.7,3.8,1.7,0.3,False,False
19,5.1,3.8,1.5,0.3,False,False
20,5.4,3.4,1.7,0.2,False,False
21,5.1,3.7,1.5,0.4,False,False
22,4.6,3.6,1.0,0.2,False,False
23,5.1,3.3,1.7,0.5,False,False
24,4.8,3.4,1.9,0.2,False,False
25,5.0,3.0,1.6,0.2,False,False
26,5.0,3.4,1.6,0.4,False,False
27,5.2,3.5,1.5,0.2,False,False
28,5.2,3.4,1.4,0.2,False,False
29,4.7,3.2,1.6,0.2,False,False
30,4.8,3.1,1.6,0.2,False,False
31,5.4,3.4,1.5,0.4,False,False
32,5.2,4.1,1.5,0.1,False,False
33,5.5,4.2,1.4,0.2,False,False
34,4.9,3.1,1.5,0.1,False,False
35,5.0,3.2,1.2,0.2,False,False
36,5.5,3.5,1.3,0.2,False,False
37,4.9,3.1,1.5,0.1,False,False
38,4.4,3.0,1.3,0.2,False,False
39,5.1,3.4,1.5,0.2,False,False
40,5.0,3.5,1.3,0.3,False,False
41,4.5,2.3,1.3,0.3,False,False
42,4.4,3.2,1.3,0.2,False,False
43,5.0,3.5,1.6,0.6,False,False
44,5.1,3.8,1.9,0.4,False,False
45,4.8,3.0,1.4,0.3,False,False
46,5.1,3.8,1.6,0.2,False,False
47,4.6,3.2,1.4,0.2,False,False
48,5.3,3.7,1.5,0.2,False,False
49,5.0,3.3,1.4,0.2,False,False
50,7.0,3.2,4.7,1.4,True,False
51,6.4,3.2,4.5,1.5,True,False
52,6.9,3.1,4.9,1.5,True,False
53,5.5,2.3,4.0,1.3,True,False
54,6.5,2.8,4.6,1.5,True,False
55,5.7,2.8,4.5,1.3,True,False
56,6.3,3.3,4.7,1.6,True,False
57,4.9,2.4,3.3,1.0,True,False
58,6.6,2.9,4.6,1.3,True,False
59,5.2,2.7,3.9,1.4,True,False
60,5.0,2.0,3.5,1.0,True,False
61,5.9,3.0,4.2,1.5,True,False
62,6.0,2.2,4.0,1.0,True,False
63,6.1,2.9,4.7,1.4,True,False
64,5.6,2.9,3.6,1.3,True,False
65,6.7,3.1,4.4,1.4,True,False
66,5.6,3.0,4.5,1.5,True,False
67,5.8,2.7,4.1,1.0,True,False
68,6.2,2.2,4.5,1.5,True,False
69,5.6,2.5,3.9,1.1,True,False
70,5.9,3.2,4.8,1.8,True,False
71,6.1,2.8,4.0,1.3,True,False
72,6.3,2.5,4.9,1.5,True,False
73,6.1,2.8,4.7,1.2,True,False
74,6.4,2.9,4.3,1.3,True,False
75,6.6,3.0,4.4,1.4,True,False
76,6.8,2.8,4.8,1.4,True,False
77,0.067,3.0,5.0,1.7,True,False
78,0.06,2.9,4.5,1.5,True,False
79,0.057,2.6,3.5,1.0,True,False
80,0.055,2.4,3.8,1.1,True,False
81,0.055,2.4,3.7,1.0,True,False
82,5.8,2.7,3.9,1.2,True,False
83,6.0,2.8,5.1,1.6,True,False
84,5.4,3.0,4.5,1.5,True,False
85,6.0,3.4,4.5,1.6,True,False
86,6.7,3.1,4.7,1.5,True,False
87,6.3,2.3,4.4,1.3,True,False
88,5.6,3.0,4.1,1.3,True,False
89,5.5,2.5,4.0,1.3,True,False
90,5.5,2.6,4.4,1.2,True,False
91,6.1,3.0,4.6,1.4,True,False
92,5.8,2.6,4.0,1.2,True,False
93,5.0,2.3,3.3,1.0,True,False
94,5.6,2.7,4.2,1.3,True,False
95,5.7,3.0,4.2,1.2,True,False
96,5.7,2.9,4.2,1.3,True,False
97,6.2,2.9,4.3,1.3,True,False
98,5.1,2.5,3.0,1.1,True,False
99,5.7,2.8,4.1,1.3,True,False
100,6.3,3.3,6.0,2.5,False,True
101,5.8,2.7,5.1,1.9,False,True
102,7.1,3.0,5.9,2.1,False,True
103,6.3,2.9,5.6,1.8,False,True
104,6.5,3.0,5.8,2.2,False,True
105,7.6,3.0,6.6,2.1,False,True
106,4.9,2.5,4.5,1.7,False,True
107,7.3,2.9,6.3,1.8,False,True
108,6.7,2.5,5.8,1.8,False,True
109,7.2,3.6,6.1,2.5,False,True
110,6.5,3.2,5.1,2.0,False,True
111,6.4,2.7,5.3,1.9,False,True
112,6.8,3.0,5.5,2.1,False,True
113,5.7,2.5,5.0,2.0,False,True
114,5.8,2.8,5.1,2.4,False,True
115,6.4,3.2,5.3,2.3,False,True
116,6.5,3.0,5.5,1.8,False,True
117,7.7,3.8,6.7,2.2,False,True
118,7.7,2.6,6.9,2.3,False,True
119,6.0,2.2,5.0,1.5,False,True
120,6.9,3.2,5.7,2.3,False,True
121,5.6,2.8,4.9,2.0,False,True
122,5.6,2.8,6.7,2.0,False,True
123,6.3,2.7,4.9,1.8,False,True
124,6.7,3.3,5.7,2.1,False,True
125,7.2,3.2,6.0,1.8,False,True
126,6.2,2.8,4.8,1.8,False,True
127,6.1,3.0,4.9,1.8,False,True
128,6.4,2.8,5.6,2.1,False,True
129,7.2,3.0,5.8,1.6,False,True
130,7.4,2.8,6.1,1.9,False,True
131,7.9,3.8,6.4,2.0,False,True
132,6.4,2.8,5.6,2.2,False,True
133,6.3,2.8,5.1,1.5,False,True
134,6.1,2.6,5.6,1.4,False,True
135,7.7,3.0,6.1,2.3,False,True
136,6.3,3.4,5.6,2.4,False,True
137,6.4,3.1,5.5,1.8,False,True
138,6.0,3.0,4.8,1.8,False,True
139,6.9,3.1,5.4,2.1,False,True
140,6.7,3.1,5.6,2.4,False,True
141,6.9,3.1,5.1,2.3,False,True
142,5.8,2.7,5.1,1.9,False,True
143,6.8,3.2,5.9,2.3,False,True
144,6.7,3.3,5.7,2.5,False,True
145,6.7,3.0,5.2,2.3,False,True
146,6.3,2.5,5.0,2.3,False,True
147,6.5,3.0,5.2,2.0,False,True
148,6.2,3.4,5.4,2.3,False,True
149,5.9,3.0,5.1,1.8,False,True
